,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",5790121,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,"Save Your Tears","The Weeknd",4424479,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
3,"Blinding Lights","The Weeknd",3992143,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,DÁKITI,"Bad Bunny",3883997,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
5,"Calling My Phone","Lil Tjay",3582109,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
6,Bandido,"Myke Towers",3145084,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
7,"Mood (feat. iann dior)",24kGoldn,2994177,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
8,"The Business",Tiësto,2880603,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
9,"Astronaut In The Ocean","Masked Wolf",2741577,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
10,"WITHOUT YOU","The Kid LAROI",2702139,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
11,Whoopty,CJ,2661639,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
12,BICHOTA,"KAROL G",2509885,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
13,"LA NOCHE DE ANOCHE","Bad Bunny",2505950,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
14,Streets,"Doja Cat",2499961,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
15,"Good Days",SZA,2385102,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
16,"Levitating (feat. DaBaby)","Dua Lipa",2377247,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
17,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",2362380,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
18,positions,"Ariana Grande",2325368,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
19,34+35,"Ariana Grande",2261066,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
